"record_index","cell_id","raw_class","source_sample","split","cell_dir"
"281","HepG2_17_cell_004","HepG2","HepG2_17","train","data\raw\res\HepG2\HepG2_17_cell_004"
"282","HepG2_17_cell_005","HepG2","HepG2_17","train","data\raw\res\HepG2\HepG2_17_cell_005"
"283","HepG2_17_cell_006","HepG2","HepG2_17","train","data\raw\res\HepG2\HepG2_17_cell_006"
"284","HepG2_17_cell_007","HepG2","HepG2_17","train","data\raw\res\HepG2\HepG2_17_cell_007"
"285","HepG2_18_cell_001","HepG2","HepG2_18","train","data\raw\res\HepG2\HepG2_18_cell_001"
"286","HepG2_18_cell_002","HepG2","HepG2_18","train","data\raw\res\HepG2\HepG2_18_cell_002"
"287","HepG2_18_cell_003","HepG2","HepG2_18","train","data\raw\res\HepG2\HepG2_18_cell_003"
"288","HepG2_18_cell_004","HepG2","HepG2_18","train","data\raw\res\HepG2\HepG2_18_cell_004"
"289","HepG2_19_cell_001","HepG2","HepG2_19","train","data\raw\res\HepG2\HepG2_19_cell_001"
"290","HepG2_19_cell_002","HepG2","HepG2_19","train","data\raw\res\HepG2\HepG2_19_cell_002"
"291","HepG2_19_cell_003","HepG2","HepG2_19","train","data\raw\res\HepG2\HepG2_19_cell_003"
"292","HepG2_19_cell_004","HepG2","HepG2_19","train","data\raw\res\HepG2\HepG2_19_cell_004"
"293","HepG2_19_cell_005","HepG2","HepG2_19","train","data\raw\res\HepG2\HepG2_19_cell_005"
"294","HepG2_19_cell_006","HepG2","HepG2_19","train","data\raw\res\HepG2\HepG2_19_cell_006"
"295","HepG2_20_cell_001","HepG2","HepG2_20","test","data\raw\res\HepG2\HepG2_20_cell_001"
"296","HepG2_20_cell_002","HepG2","HepG2_20","test","data\raw\res\HepG2\HepG2_20_cell_002"
"297","HepG2_20_cell_003","HepG2","HepG2_20","test","data\raw\res\HepG2\HepG2_20_cell_003"
"298","HepG2_20_cell_004","HepG2","HepG2_20","test","data\raw\res\HepG2\HepG2_20_cell_004"
"299","HepG2_20_cell_005","HepG2","HepG2_20","test","data\raw\res\HepG2\HepG2_20_cell_005"
"300","HepG2_20_cell_006","HepG2","HepG2_20","test","data\raw\res\HepG2\HepG2_20_cell_006"
"301","2DG01_cell_001","2DG","2DG01","test","data\raw\res\2DG\2DG01_cell_001"
"302","2DG01_cell_002","2DG","2DG01","test","data\raw\res\2DG\2DG01_cell_002"
"303","2DG01_cell_003","2DG","2DG01","test","data\raw\res\2DG\2DG01_cell_003"
"304","2DG01_cell_004","2DG","2DG01","test","data\raw\res\2DG\2DG01_cell_004"
"305","2DG01_cell_005","2DG","2DG01","test","data\raw\res\2DG\2DG01_cell_005"
"306","2DG01_cell_006","2DG","2DG01","test","data\raw\res\2DG\2DG01_cell_006"
"307","2DG01_cell_007","2DG","2DG01","test","data\raw\res\2DG\2DG01_cell_007"
"308","2DG01_cell_008","2DG","2DG01","test","data\raw\res\2DG\2DG01_cell_008"
"309","2DG01_cell_009","2DG","2DG01","test","data\raw\res\2DG\2DG01_cell_009"
"310","2DG02_cell_001","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_001"
"311","2DG02_cell_002","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_002"
"312","2DG02_cell_003","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_003"
"313","2DG02_cell_004","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_004"
"314","2DG02_cell_005","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_005"
"315","2DG02_cell_006","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_006"
"316","2DG02_cell_007","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_007"
"317","2DG02_cell_008","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_008"
"318","2DG02_cell_009","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_009"
"319","2DG02_cell_010","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_010"
"320","2DG02_cell_011","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_011"
"321","2DG02_cell_012","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_012"
"322","2DG02_cell_013","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_013"
"323","2DG02_cell_014","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_014"
"324","2DG02_cell_015","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_015"
"325","2DG02_cell_016","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_016"
"326","2DG02_cell_017","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_017"
"327","2DG02_cell_018","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_018"
"328","2DG02_cell_019","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_019"
"329","2DG02_cell_020","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_020"
"330","2DG02_cell_021","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_021"
"331","2DG02_cell_022","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_022"
"332","2DG02_cell_023","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_023"
"333","2DG02_cell_024","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_024"
"334","2DG02_cell_025","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_025"
"335","2DG02_cell_026","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_026"
"336","2DG02_cell_027","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_027"
"337","2DG02_cell_028","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_028"
"338","2DG02_cell_029","2DG","2DG02","train","data\raw\res\2DG\2DG02_cell_029"
"339","2DG03_cell_001","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_001"
"340","2DG03_cell_002","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_002"
"341","2DG03_cell_003","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_003"
"342","2DG03_cell_004","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_004"
"343","2DG03_cell_005","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_005"
"344","2DG03_cell_006","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_006"
"345","2DG03_cell_007","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_007"
"346","2DG03_cell_008","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_008"
"347","2DG03_cell_009","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_009"
"348","2DG03_cell_010","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_010"
"349","2DG03_cell_011","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_011"
"350","2DG03_cell_012","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_012"
"351","2DG03_cell_013","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_013"
"352","2DG03_cell_014","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_014"
"353","2DG03_cell_015","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_015"
"354","2DG03_cell_016","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_016"
"355","2DG03_cell_017","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_017"
"356","2DG03_cell_018","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_018"
"357","2DG03_cell_019","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_019"
"358","2DG03_cell_020","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_020"
"359","2DG03_cell_021","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_021"
"360","2DG03_cell_022","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_022"
"361","2DG03_cell_023","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_023"
"362","2DG03_cell_024","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_024"
"363","2DG03_cell_025","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_025"
"364","2DG03_cell_026","2DG","2DG03","train","data\raw\res\2DG\2DG03_cell_026"
"365","2DG04_cell_001","2DG","2DG04","train","data\raw\res\2DG\2DG04_cell_001"
"366","2DG04_cell_002","2DG","2DG04","train","data\raw\res\2DG\2DG04_cell_002"
"367","2DG04_cell_003","2DG","2DG04","train","data\raw\res\2DG\2DG04_cell_003"
"368","2DG04_cell_004","2DG","2DG04","train","data\raw\res\2DG\2DG04_cell_004"
"369","2DG04_cell_005","2DG","2DG04","train","data\raw\res\2DG\2DG04_cell_005"
"370","2DG04_cell_006","2DG","2DG04","train","data\raw\res\2DG\2DG04_cell_006"
"371","2DG04_cell_007","2DG","2DG04","train","data\raw\res\2DG\2DG04_cell_007"
"372","2DG04_cell_008","2DG","2DG04","train","data\raw\res\2DG\2DG04_cell_008"
"373","2DG04_cell_009","2DG","2DG04","train","data\raw\res\2DG\2DG04_cell_009"
"374","2DG04_cell_010","2DG","2DG04","train","data\raw\res\2DG\2DG04_cell_010"
"375","2DG05_cell_001","2DG","2DG05","train","data\raw\res\2DG\2DG05_cell_001"
"376","2DG05_cell_002","2DG","2DG05","train","data\raw\res\2DG\2DG05_cell_002"
"377","2DG05_cell_003","2DG","2DG05","train","data\raw\res\2DG\2DG05_cell_003"
"378","2DG05_cell_004","2DG","2DG05","train","data\raw\res\2DG\2DG05_cell_004"
"379","2DG05_cell_005","2DG","2DG05","train","data\raw\res\2DG\2DG05_cell_005"
"380","2DG05_cell_006","2DG","2DG05","train","data\raw\res\2DG\2DG05_cell_006"
"381","2DG05_cell_007","2DG","2DG05","train","data\raw\res\2DG\2DG05_cell_007"
"382","2DG05_cell_008","2DG","2DG05","train","data\raw\res\2DG\2DG05_cell_008"
"383","2DG05_cell_009","2DG","2DG05","train","data\raw\res\2DG\2DG05_cell_009"
"384","2DG05_cell_010","2DG","2DG05","train","data\raw\res\2DG\2DG05_cell_010"
"385","2DG05_cell_011","2DG","2DG05","train","data\raw\res\2DG\2DG05_cell_011"
"386","2DG05_cell_012","2DG","2DG05","train","data\raw\res\2DG\2DG05_cell_012"
"387","2DG05_cell_013","2DG","2DG05","train","data\raw\res\2DG\2DG05_cell_013"
"388","2DG05_cell_014","2DG","2DG05","train","data\raw\res\2DG\2DG05_cell_014"
"389","2DG05_cell_015","2DG","2DG05","train","data\raw\res\2DG\2DG05_cell_015"
"390","2DG05_cell_016","2DG","2DG05","train","data\raw\res\2DG\2DG05_cell_016"
"391","2DG05_cell_017","2DG","2DG05","train","data\raw\res\2DG\2DG05_cell_017"
"392","2DG05_cell_018","2DG","2DG05","train","data\raw\res\2DG\2DG05_cell_018"
"393","2DG05_cell_019","2DG","2DG05","train","data\raw\res\2DG\2DG05_cell_019"
"394","2DG05_cell_020","2DG","2DG05","train","data\raw\res\2DG\2DG05_cell_020"
"395","2DG06_cell_001","2DG","2DG06","test","data\raw\res\2DG\2DG06_cell_001"
"396","2DG06_cell_002","2DG","2DG06","test","data\raw\res\2DG\2DG06_cell_002"
"397","2DG06_cell_003","2DG","2DG06","test","data\raw\res\2DG\2DG06_cell_003"
"398","2DG06_cell_004","2DG","2DG06","test","data\raw\res\2DG\2DG06_cell_004"
"399","2DG06_cell_005","2DG","2DG06","test","data\raw\res\2DG\2DG06_cell_005"
"400","2DG06_cell_006","2DG","2DG06","test","data\raw\res\2DG\2DG06_cell_006"
"401","2DG06_cell_007","2DG","2DG06","test","data\raw\res\2DG\2DG06_cell_007"
"402","2DG06_cell_008","2DG","2DG06","test","data\raw\res\2DG\2DG06_cell_008"
"403","2DG06_cell_009","2DG","2DG06","test","data\raw\res\2DG\2DG06_cell_009"
"404","2DG06_cell_010","2DG","2DG06","test","data\raw\res\2DG\2DG06_cell_010"
"405","2DG06_cell_011","2DG","2DG06","test","data\raw\res\2DG\2DG06_cell_011"
"406","2DG06_cell_012","2DG","2DG06","test","data\raw\res\2DG\2DG06_cell_012"
"407","2DG06_cell_013","2DG","2DG06","test","data\raw\res\2DG\2DG06_cell_013"
"408","2DG06_cell_014","2DG","2DG06","test","data\raw\res\2DG\2DG06_cell_014"
"409","2DG06_cell_015","2DG","2DG06","test","data\raw\res\2DG\2DG06_cell_015"
"410","2DG06_cell_016","2DG","2DG06","test","data\raw\res\2DG\2DG06_cell_016"
"411","2DG06_cell_017","2DG","2DG06","test","data\raw\res\2DG\2DG06_cell_017"
"412","2DG07_cell_001","2DG","2DG07","train","data\raw\res\2DG\2DG07_cell_001"
"413","2DG07_cell_002","2DG","2DG07","train","data\raw\res\2DG\2DG07_cell_002"
"414","2DG07_cell_003","2DG","2DG07","train","data\raw\res\2DG\2DG07_cell_003"
"415","2DG07_cell_004","2DG","2DG07","train","data\raw\res\2DG\2DG07_cell_004"
"416","2DG07_cell_005","2DG","2DG07","train","data\raw\res\2DG\2DG07_cell_005"
"417","2DG07_cell_006","2DG","2DG07","train","data\raw\res\2DG\2DG07_cell_006"
"418","2DG07_cell_007","2DG","2DG07","train","data\raw\res\2DG\2DG07_cell_007"
"419","2DG07_cell_008","2DG","2DG07","train","data\raw\res\2DG\2DG07_cell_008"
"420","2DG07_cell_009","2DG","2DG07","train","data\raw\res\2DG\2DG07_cell_009"
"421","2DG07_cell_010","2DG","2DG07","train","data\raw\res\2DG\2DG07_cell_010"
"422","2DG07_cell_011","2DG","2DG07","train","data\raw\res\2DG\2DG07_cell_011"
"423","2DG07_cell_012","2DG","2DG07","train","data\raw\res\2DG\2DG07_cell_012"
"424","2DG07_cell_013","2DG","2DG07","train","data\raw\res\2DG\2DG07_cell_013"
"425","2DG07_cell_014","2DG","2DG07","train","data\raw\res\2DG\2DG07_cell_014"
"426","2DG07_cell_015","2DG","2DG07","train","data\raw\res\2DG\2DG07_cell_015"
"427","2DG07_cell_016","2DG","2DG07","train","data\raw\res\2DG\2DG07_cell_016"
"428","2DG07_cell_017","2DG","2DG07","train","data\raw\res\2DG\2DG07_cell_017"
"429","2DG07_cell_018","2DG","2DG07","train","data\raw\res\2DG\2DG07_cell_018"
"430","2DG07_cell_019","2DG","2DG07","train","data\raw\res\2DG\2DG07_cell_019"
"431","2DG07_cell_020","2DG","2DG07","train","data\raw\res\2DG\2DG07_cell_020"
"432","2DG07_cell_021","2DG","2DG07","train","data\raw\res\2DG\2DG07_cell_021"
"433","2DG07_cell_022","2DG","2DG07","train","data\raw\res\2DG\2DG07_cell_022"
"434","2DG08_cell_001","2DG","2DG08","train","data\raw\res\2DG\2DG08_cell_001"
"435","2DG08_cell_002","2DG","2DG08","train","data\raw\res\2DG\2DG08_cell_002"
"436","2DG08_cell_003","2DG","2DG08","train","data\raw\res\2DG\2DG08_cell_003"
"437","2DG08_cell_004","2DG","2DG08","train","data\raw\res\2DG\2DG08_cell_004"
"438","2DG08_cell_005","2DG","2DG08","train","data\raw\res\2DG\2DG08_cell_005"
"439","2DG08_cell_006","2DG","2DG08","train","data\raw\res\2DG\2DG08_cell_006"
"440","2DG08_cell_007","2DG","2DG08","train","data\raw\res\2DG\2DG08_cell_007"
"441","2DG08_cell_008","2DG","2DG08","train","data\raw\res\2DG\2DG08_cell_008"
"442","2DG08_cell_009","2DG","2DG08","train","data\raw\res\2DG\2DG08_cell_009"
"443","2DG08_cell_010","2DG","2DG08","train","data\raw\res\2DG\2DG08_cell_010"
"444","2DG08_cell_011","2DG","2DG08","train","data\raw\res\2DG\2DG08_cell_011"
"445","2DG08_cell_012","2DG","2DG08","train","data\raw\res\2DG\2DG08_cell_012"
"446","2DG08_cell_013","2DG","2DG08","train","data\raw\res\2DG\2DG08_cell_013"
"447","2DG08_cell_014","2DG","2DG08","train","data\raw\res\2DG\2DG08_cell_014"
"448","2DG08_cell_015","2DG","2DG08","train","data\raw\res\2DG\2DG08_cell_015"
"449","2DG08_cell_016","2DG","2DG08","train","data\raw\res\2DG\2DG08_cell_016"
"450","2DG08_cell_017","2DG","2DG08","train","data\raw\res\2DG\2DG08_cell_017"
"451","2DG08_cell_018","2DG","2DG08","train","data\raw\res\2DG\2DG08_cell_018"
"452","2DG08_cell_019","2DG","2DG08","train","data\raw\res\2DG\2DG08_cell_019"
"453","2DG08_cell_020","2DG","2DG08","train","data\raw\res\2DG\2DG08_cell_020"
"454","2DG08_cell_021","2DG","2DG08","train","data\raw\res\2DG\2DG08_cell_021"
"455","2DG08_cell_022","2DG","2DG08","train","data\raw\res\2DG\2DG08_cell_022"
"456","2DG08_cell_023","2DG","2DG08","train","data\raw\res\2DG\2DG08_cell_023"
"457","2DG08_cell_024","2DG","2DG08","train","data\raw\res\2DG\2DG08_cell_024"
"458","2DG09_cell_001","2DG","2DG09","val","data\raw\res\2DG\2DG09_cell_001"
"459","2DG09_cell_002","2DG","2DG09","val","data\raw\res\2DG\2DG09_cell_002"
"460","2DG09_cell_003","2DG","2DG09","val","data\raw\res\2DG\2DG09_cell_003"
"461","2DG09_cell_004","2DG","2DG09","val","data\raw\res\2DG\2DG09_cell_004"
"462","2DG09_cell_005","2DG","2DG09","val","data\raw\res\2DG\2DG09_cell_005"
"463","2DG09_cell_006","2DG","2DG09","val","data\raw\res\2DG\2DG09_cell_006"
"464","2DG09_cell_007","2DG","2DG09","val","data\raw\res\2DG\2DG09_cell_007"
"465","2DG09_cell_008","2DG","2DG09","val","data\raw\res\2DG\2DG09_cell_008"
"466","2DG09_cell_009","2DG","2DG09","val","data\raw\res\2DG\2DG09_cell_009"
"467","2DG09_cell_010","2DG","2DG09","val","data\raw\res\2DG\2DG09_cell_010"
"468","2DG09_cell_011","2DG","2DG09","val","data\raw\res\2DG\2DG09_cell_011"
"469","2DG09_cell_012","2DG","2DG09","val","data\raw\res\2DG\2DG09_cell_012"
"470","2DG10_cell_001","2DG","2DG10","val","data\raw\res\2DG\2DG10_cell_001"
"471","2DG10_cell_002","2DG","2DG10","val","data\raw\res\2DG\2DG10_cell_002"
"472","2DG10_cell_003","2DG","2DG10","val","data\raw\res\2DG\2DG10_cell_003"
"473","2DG10_cell_004","2DG","2DG10","val","data\raw\res\2DG\2DG10_cell_004"
"474","2DG10_cell_005","2DG","2DG10","val","data\raw\res\2DG\2DG10_cell_005"
"475","2DG10_cell_006","2DG","2DG10","val","data\raw\res\2DG\2DG10_cell_006"
"476","2DG10_cell_007","2DG","2DG10","val","data\raw\res\2DG\2DG10_cell_007"
"477","2DG10_cell_008","2DG","2DG10","val","data\raw\res\2DG\2DG10_cell_008"
"478","2DG10_cell_009","2DG","2DG10","val","data\raw\res\2DG\2DG10_cell_009"
"479","2DG10_cell_010","2DG","2DG10","val","data\raw\res\2DG\2DG10_cell_010"
"480","2DG10_cell_011","2DG","2DG10","val","data\raw\res\2DG\2DG10_cell_011"
"481","2DG10_cell_012","2DG","2DG10","val","data\raw\res\2DG\2DG10_cell_012"
"482","2DG10_cell_013","2DG","2DG10","val","data\raw\res\2DG\2DG10_cell_013"
"483","2DG10_cell_014","2DG","2DG10","val","data\raw\res\2DG\2DG10_cell_014"
"484","2DG10_cell_015","2DG","2DG10","val","data\raw\res\2DG\2DG10_cell_015"
"485","2DG10_cell_016","2DG","2DG10","val","data\raw\res\2DG\2DG10_cell_016"
"486","2DG10_cell_017","2DG","2DG10","val","data\raw\res\2DG\2DG10_cell_017"
"487","2DG11_cell_001","2DG","2DG11","train","data\raw\res\2DG\2DG11_cell_001"
"488","2DG11_cell_002","2DG","2DG11","train","data\raw\res\2DG\2DG11_cell_002"
"489","2DG11_cell_003","2DG","2DG11","train","data\raw\res\2DG\2DG11_cell_003"
"490","2DG11_cell_004","2DG","2DG11","train","data\raw\res\2DG\2DG11_cell_004"
"491","2DG11_cell_005","2DG","2DG11","train","data\raw\res\2DG\2DG11_cell_005"
"492","2DG11_cell_006","2DG","2DG11","train","data\raw\res\2DG\2DG11_cell_006"
"493","2DG11_cell_007","2DG","2DG11","train","data\raw\res\2DG\2DG11_cell_007"
"494","2DG11_cell_008","2DG","2DG11","train","data\raw\res\2DG\2DG11_cell_008"
"495","2DG11_cell_009","2DG","2DG11","train","data\raw\res\2DG\2DG11_cell_009"
"496","2DG11_cell_010","2DG","2DG11","train","data\raw\res\2DG\2DG11_cell_010"
"497","2DG11_cell_011","2DG","2DG11","train","data\raw\res\2DG\2DG11_cell_011"
"498","2DG11_cell_012","2DG","2DG11","train","data\raw\res\2DG\2DG11_cell_012"
"499","2DG11_cell_013","2DG","2DG11","train","data\raw\res\2DG\2DG11_cell_013"
"500","2DG11_cell_014","2DG","2DG11","train","data\raw\res\2DG\2DG11_cell_014"
"501","2DG11_cell_015","2DG","2DG11","train","data\raw\res\2DG\2DG11_cell_015"
